S1,S2,S3,S4,S5,S6,E,X,|,N1,N2,N3,N4,N5,N6
0,0,0,0,0,0,0,-,,0,0,0,0,0,0
0,0,0,0,0,0,1,-,,0,0,0,0,0,1
0,0,0,0,0,1,0,0,,0,0,0,0,0,1
0,0,0,0,0,1,1,0,,0,0,0,0,1,0
0,0,0,0,0,1,-,1,,0,0,1,0,1,1
0,0,0,0,1,0,0,0,,0,0,0,0,1,0
0,0,0,0,1,0,1,0,,0,0,0,0,1,1
0,0,0,0,1,0,-,1,,0,0,1,1,1,1
0,0,0,0,1,1,0,0,,0,0,0,0,1,1
0,0,0,0,1,1,1,0,,0,0,0,1,0,0
0,0,0,0,1,1,-,1,,0,1,0,0,1,1
0,0,0,1,0,0,0,0,,0,0,0,1,0,0
0,0,0,1,0,0,1,0,,0,0,0,1,0,1
0,0,0,1,0,0,-,1,,0,1,0,1,1,1
0,0,0,1,0,1,0,0,,0,0,0,1,0,1
0,0,0,1,0,1,-,1,,0,1,1,0,1,1
0,0,0,1,0,1,1,0,,0,0,0,1,1,0
0,0,0,1,1,0,0,0,,0,0,0,1,1,0
0,0,0,1,1,0,1,0,,0,0,0,1,1,1
0,0,0,1,1,0,-,1,,0,1,1,1,1,1
0,0,0,1,1,1,0,0,,0,0,0,1,1,1
0,0,0,1,1,1,1,0,,0,0,1,0,0,0
0,0,0,1,1,1,-,1,,1,0,0,0,1,1
0,0,1,0,0,0,0,0,,0,0,1,0,0,0
0,0,1,0,0,0,1,0,,0,0,1,0,0,1
0,0,1,0,0,0,-,1,,1,0,0,1,1,1
0,0,1,0,0,1,-,0,,0,0,1,0,0,1
0,0,1,0,0,1,-,1,,1,0,1,0,1,1
0,0,1,0,1,0,-,-,,0,0,0,0,0,0
0,0,1,0,1,1,-,-,,0,0,1,1,0,0
0,0,1,1,0,0,0,0,,0,0,1,1,0,0
0,0,1,1,0,0,1,0,,0,0,1,1,0,1
0,0,1,1,0,0,-,1,,0,0,1,0,1,0
0,0,1,1,0,1,-,-,,0,0,1,1,1,0
0,0,1,1,1,0,0,-,,0,0,0,0,0,1
0,0,1,1,1,0,1,-,,0,0,0,0,1,0
0,0,1,1,1,1,-,-,,0,1,0,0,0,0
0,1,0,0,0,0,0,0,,0,1,0,0,0,0
0,1,0,0,0,0,1,0,,0,1,0,0,0,1
0,1,0,0,0,0,-,1,,0,0,1,1,0,0
0,1,0,0,0,1,-,-,,0,1,0,0,1,0
0,1,0,0,1,0,0,-,,0,0,0,0,1,0
0,1,0,0,1,0,1,-,,0,0,0,0,1,1
0,1,0,0,1,1,-,-,,0,1,0,1,0,0
0,1,0,1,0,0,0,0,,0,1,0,1,0,0
0,1,0,1,0,0,1,0,,1,0,1,0,0,1
0,1,0,1,0,0,-,1,,0,1,0,0,0,0
0,1,0,1,0,1,-,-,,0,1,0,1,0,0
0,1,0,1,1,0,0,-,,0,0,0,0,1,1
0,1,0,1,1,0,1,-,,0,0,0,1,0,0
0,1,0,1,1,1,-,-,,0,1,1,0,0,0
0,1,1,0,0,0,0,0,,0,1,1,0,0,0
0,1,1,0,0,0,1,0,,0,1,1,0,0,0
0,1,1,0,0,0,-,1,,0,1,0,1,0,0
0,1,1,0,0,1,-,-,,0,1,1,0,1,0
0,1,1,0,1,0,0,-,,0,0,0,1,0,0
0,1,1,0,1,0,1,-,,0,0,0,1,0,1
0,1,1,0,1,1,-,-,,0,1,1,1,0,0
0,1,1,1,0,0,0,0,,0,1,1,1,0,0
0,1,1,1,0,0,1,0,,0,1,1,1,0,1
0,1,1,1,0,0,-,1,,0,1,1,0,0,0
0,1,1,1,0,1,-,-,,0,1,1,1,1,0
0,1,1,1,1,0,0,-,,0,0,0,1,0,1
0,1,1,1,1,0,1,-,,0,0,0,1,1,0
0,1,1,1,1,1,-,-,,1,0,0,0,0,0
1,0,0,0,0,0,0,0,,1,0,0,0,0,0
1,0,0,0,0,0,1,0,,1,0,0,0,0,1
1,0,0,0,0,0,-,1,,0,1,1,1,0,0
1,0,0,0,0,1,-,-,,1,0,0,0,1,0
1,0,0,0,1,0,0,-,,0,0,0,1,1,0
1,0,0,0,1,0,1,-,,0,0,0,1,1,1
1,0,0,0,1,1,-,-,,1,0,0,1,0,0
1,0,0,1,0,0,0,0,,1,0,0,1,0,0
1,0,0,1,0,0,1,0,,1,0,0,1,0,1
1,0,0,1,0,0,-,1,,1,0,0,0,0,0
1,0,0,1,0,1,-,-,,1,0,0,1,1,0
1,0,0,1,1,0,0,-,,0,0,0,1,1,1
1,0,0,1,1,0,1,-,,0,0,1,0,0,0
1,0,0,1,1,1,-,-,,1,0,1,0,0,0
1,0,1,0,0,0,0,0,,1,0,1,0,0,0
1,0,1,0,0,0,1,0,,1,0,1,0,0,1
1,0,1,0,0,0,-,1,,1,0,0,1,0,0
1,0,1,0,0,1,-,-,,1,0,1,0,1,0
1,0,1,0,1,0,0,-,,0,0,1,0,0,0
1,0,1,0,1,0,1,-,,0,0,1,0,0,1
1,0,1,0,1,1,-,-,,1,0,1,1,0,0
1,0,1,1,0,0,-,1,,1,0,1,0,0,0
1,0,1,1,0,0,0,0,,1,0,1,1,0,0
